;Select one;;
Afghanistan;Bamyan;Bamiyan Airport;BIN
Afghanistan;Camp Bastion;Camp Bastion Airport;OAZ
Afghanistan;Chaghcharan;Chakcharan Airport;CCN
Afghanistan;Faizabad;Fayzabad Airport;FBD
Afghanistan;Farah;Farah Airport;FAH
Afghanistan;Ghazni;Ghazni Airport;GZI
Afghanistan;Herat;Herat Airport;HEA
Afghanistan;Jalalabad;Jalalabad Airport;JAA
Afghanistan;Kabul;Bagram Air Base;OAI
Afghanistan;Kabul;Hamid Karzai International Airport;KBL
Afghanistan;Kandahar;Kandahar Airport;KDH
Afghanistan;Khost;Khost Airport;KHT
Afghanistan;Kunduz;Konduz Airport;UND
Afghanistan;Lashkar Gah;Bost Airport;BST
Afghanistan;Maimama;Maimana Airport;MMZ
Afghanistan;Mazar-i-sharif;Mazar I Sharif Airport;MZR
Afghanistan;Shank;Shank Air Base;OAA
Afghanistan;Sharona;Sharana Airstrip;OAS
Afghanistan;Shindand;Shindand Airport;OAH
Afghanistan;Tarin Kowt;Tarin Kowt Airport;TII
Afghanistan;Zaranj;Zaranj Airport;ZAJ
Albania;Tirana;Tirana International Airport Mother Teresa;TIA
Algeria;Adrar;Touat Cheikh Sidi Mohamed Belkebir Airport;AZR
Algeria;Algier;Houari Boumediene Airport;ALG
Algeria;Annaba;Rabah Bitat Airport;AAE
Algeria;Batna;Batna Airport;BLJ
Algeria;Béchar;Béchar Boudghene Ben Ali Lotfi Airport;CBH
Algeria;Bejaja;Soummam Airport;BJA
Algeria;Biskra;Biskra Airport;BSK
Algeria;Blida;Blida Airport;QLD
Algeria;Bordj Badji Mokhtar;Bordj Badji Mokhtar Airport;BMW
Algeria;Bou Saada;Bou Saada Airport;BUJ
Algeria;Constantine;Mohamed Boudiaf International Airport;CZL
Algeria;Djanet;Djanet Inedbirene Airport;DJG
Algeria;Djelfa;Tsletsi Airport;QDJ
Algeria;Ech-cheliff;Ech Cheliff Airport;CFK
Algeria;El Bayadh;El Bayadh Airport;EBH
Algeria;El Golea;El Golea Airport;ELG
Algeria;Ghardaia;Noumérat - Moufdi Zakaria Airport;GHA
Algeria;Ghriss;Ghriss Airport;MUW
Algeria;Guemar;Guemar Airport;ELU
Algeria;Hassi Messaoud;Oued Irara Airport;HME
Algeria;Illizi;Illizi Takhamalt Airport;VVZ
Algeria;In Salah;In Salah Airport;INZ
Algeria;Jijel;Jijel Ferhat Abbas Airport;GJL
Algeria;Laghouat;Laghouat Airport;LOO
Algeria;Mecheria;Mecheria Airport;MZW
Algeria;Oran;Es Senia Airport;ORN
Algeria;Oran;Tafaraoui Airport;TAF
Algeria;Ouargla;Ain el Beida Airport;OGX
Algeria;Setif;Ain Arnat Airport;QSF
Algeria;Sidi Bel Abbes;Sidi Bel Abbes Airport;BFW
Algeria;Tamanrasset;Aguenar – Hadj Bey Akhamok Airport;TMR
Algeria;Tebessa;Cheikh Larbi Tébessi Airport;TEE
Algeria;Tiaret;Bou Chekif Airport;TID
Algeria;Tilrempt;Hassi R'Mel Airport;HRM
Algeria;Timimoun;Timimoun Airport;TMX
Algeria;Tindouf;Tindouf Airport;TIN
Algeria;Tlemcen;Zenata – Messali El Hadj Airport;TLM
Algeria;Touggourt;Touggourt Sidi Madhi Airport;TGR
Algeria;Zarzaitine;In Aménas Airport;IAM
American Samoa;Fiti\'uta;Fitiuta Airport;FTI
